id;name;nationality;sex;height;weight;sport;gold;silver;bronze
366742302;Albert Saritov;ROU;male;1.88;100;wrestling;0;0;1
670559048;Albert Selimov;AZE;male;1.71;;boxing;0;0;0
124573287;Albert Subirats;VEN;male;1.9;85;aquatics;0;0;0
635016740;Alberth Bravo;VEN;male;1.99;88;athletics;0;0;0
502881474;Alberth Elis;HON;male;1.84;77;football;0;0;0
583503806;Albertina Cruz Kassoma;ANG;female;1.92;105;handball;0;0;0
804217525;Alberto Alvarez;MEX;male;1.91;78;athletics;0;0;0
331799449;Alberto Ezequiel Melian;ARG;male;1.7;;boxing;0;0;0
532248667;Alberto Fernandez;ESP;male;1.8;115;shooting;0;0;0
566773050;Alberto Ignacio Palmetta;ARG;male;1.75;;boxing;0;0;0
220269839;Alberto Munarriz Egana;ESP;male;1.98;105;aquatics;0;0;0
861268031;Alberto Ricchetti;ITA;male;1.86;88;canoe;0;0;0
663206046;Albin Lagergren;SWE;male;1.86;94;handball;0;0;0
966601149;Albina Shakirova;RUS;female;1.65;50;shooting;0;0;0
74286490;Aldemir da Silva Junior;BRA;male;1.93;80;athletics;0;0;0
46123715;Aldo Montano;ITA;male;1.84;82;fencing;0;0;0
343089125;Alec Potts;AUS;male;1.85;77;archery;0;0;1
210525666;Aleixo-Platini Menga;GER;male;1.82;82;athletics;0;0;0
969294495;Alejandra Betancur;COL;female;1.6;82;rugby sevens;0;0;0
388913856;Alejandra Garza Garza;MEX;female;1.65;75;weightlifting;0;0;0
883610308;Alejandra Jhonay Benitez Romero;VEN;female;1.69;62;fencing;0;0;0
694204413;Alejandra Llaneza;MEX;female;1.58;48;golf;0;0;0
400375379;Alejandra Orozco;MEX;female;1.57;56;aquatics;0;0;0
151538357;Alejandra Ortega;MEX;female;1.65;57;athletics;0;0;0
281414786;Alejandra Quereda;ESP;female;1.75;54;gymnastics;0;1;0
471263119;Alejandra Teran;MEX;female;1.76;73;fencing;0;0;0
929131268;Alejandra Valencia;MEX;female;1.75;74;archery;0;0;0
419155357;Alejandra Zavala Vazquez;MEX;female;1.65;85;shooting;0;0;0
440339638;Alejandro Enrique Valdes Tobier;CUB;male;1.65;65;wrestling;0;0;0
691394107;Alejandro Foglia Costa;URU;male;1.9;96;sailing;0;0;0
813391088;Alejandro Valverde Belmonte;ESP;male;1.77;63;cycling;0;0;0
288835407;Aleksandar Aleksandrov;AZE;male;1.89;93;rowing;0;0;0
299839075;Aleksandar IVOVIC;MNE;male;1.97;107;aquatics;0;0;0
371740701;Aleksandar Karakasevic;SRB;male;1.78;85;table tennis;0;0;0
150583899;Aleksandar Kukolj;SRB;male;1.94;94;judo;0;0;0
156829148;Aleksandar Nikolov;BUL;male;1.85;75;aquatics;0;0;0
39610779;Aleksandar RADOVIC;MNE;male;1.91;98;aquatics;0;0;0
150706476;Aleksandr Krasnykh;RUS;male;1.88;80;aquatics;0;0;0
461398245;Aleksandr Lipatov;RUS;male;1.84;77;canoe;0;0;0
825626228;Aleksandr Markov;RUS;male;1.79;70;equestrian;0;0;0
